Region: 00  | Segments: 48    | Area: 510176.066
 S           | A               | B               | E           | Color
 392.5, 271.5| 410.973, 265.381| 429.640, 259.881| 448.5, 255.0|blue
 448.5, 255.0| 466.857, 250.575| 482.357, 241.408| 495.0, 227.5|pink
 495.0, 227.5| 499.226, 221.716| 502.392, 215.382| 504.5, 208.5|red
 504.5, 208.5| 511.885, 205.974| 518.885, 202.641| 525.5, 198.5|orange
 525.5, 198.5| 526.498, 206.472| 526.831, 214.472| 526.5, 222.5|yellow
 526.5, 222.5| 548.468, 220.010| 569.135, 213.510| 588.5, 203.0|green
 588.5, 203.0| 601.230, 193.601| 611.063, 181.768| 618.0, 167.5|blue
 618.0, 167.5| 627.175, 157.991| 636.008, 148.157| 644.5, 138.0|pink
 644.5, 138.0| 647.167, 137.333| 649.833, 137.333| 652.5, 138.0|red
 652.5, 138.0| 662.804, 143.060| 672.304, 149.226| 681.0, 156.5|orange
