Region: 00  | Segments: 48    | Area: 510176.066
 S           | A               | B               | E           | Color
 518.5, -23.0| 497.802, -43.691| 473.136, -57.691| 444.5, -65.0|blue
 444.5, -65.0| 428.403, -69.286| 412.070, -72.286| 395.5, -74.0|pink
 395.5, -74.0| 368.147, -75.593| 340.814, -77.260| 313.5, -79.0|red
 313.5, -79.0| 312.359, -79.741| 312.359, -80.575| 313.5, -81.5|orange
 313.5, -81.5| 314.729, -82.281| 316.062, -82.781| 317.5, -83.0|yellow
 317.5, -83.0| 327.322, -83.819| 336.989, -84.652| 346.5, -85.5|green


Region: 03  | Segments: 08    | Area: 2201.923
 S           | A               | B               | E           | Color
 100.5, -75.5| 120.274, -76.019| 139.940, -74.852| 159.5, -72.0|black
 159.5, -72.0| 166.273, -70.854| 172.606, -68.520| 178.5, -65.0|red
 178.5, -65.0| 187.486, -57.337| 186.153, -54.004| 174.5, -55.0|orange
 174.5, -55.0| 139.852, -64.194| 104.852, -65.860|  69.5, -60.0|yellow
  69.5, -60.0|  44.927, -54.654|  27.093, -40.821|  16.0, -18.5|green
  16.0, -18.5|  12.326, -24.410|  11.992, -30.744|  15.0, -37.5|blue
  15.0, -37.5|  18.725, -45.892|  24.559, -52.392|  32.5, -57.0|pink
  32.5, -57.0|  53.842, -68.500|  76.508, -74.666| 100.5, -75.5|red


Region: 04  | Segments: 06    | Area: 649.910
 S           | A               | B               | E           | Color
 326.5, -73.5| 328.487, -72.836| 330.154, -71.669| 331.5, -70.0|black
 331.5, -70.0| 324.578, -63.082| 318.411, -55.582| 313.0, -47.5|red
 313.0, -47.5| 308.821, -38.610| 306.154, -29.277| 305.0, -19.5|orange
 305.0, -19.5| 303.126, -17.224| 301.459, -17.557| 300.0, -20.5|yellow
 300.0, -20.5| 296.345, -34.914| 298.345, -48.581| 306.0, -61.5|green
 306.0, -61.5| 311.773, -67.465| 318.607, -71.465| 326.5, -73.5|blue


Region: 05  | Segments: 06    | Area: 652.826
 S           | A               | B               | E           | Color
 153.5, -42.5| 164.533, -45.121| 171.700, -41.121| 175.0, -30.5|black
 175.0, -30.5| 178.435, -15.096| 178.268,   0.238| 174.5,  15.5|red
 174.5,  15.5| 172.799,  15.966| 171.299,  15.966| 170.0,  15.5|orange
 170.0,  15.5| 168.261,   4.236| 166.928,  -7.098| 166.0, -18.5|yellow
 166.0, -18.5| 164.216, -26.283| 160.049, -32.450| 153.5, -37.0|green
 153.5, -37.0| 152.851, -38.690| 152.851, -40.523| 153.5, -42.5|blue


Region: 06  | Segments: 26    | Area: 11427.325
 S           | A               | B               | E           | Color
 403.5, -17.5| 438.580, -20.853| 471.246, -13.686| 501.5,   4.0|black
 501.5,   4.0| 516.135,  14.570| 526.135,  28.570| 531.5,  46.0|red
 531.5,  46.0| 526.676,  52.082| 520.343,  55.582| 512.5,  56.5|orange
 512.5,  56.5| 511.216,  43.099| 505.550,  31.932| 495.5,  23.0|yellow
 495.5,  23.0| 489.258,  21.630| 482.925,  21.130| 476.5,  21.5|green
 476.5,  21.5| 478.182,  27.822| 481.682,  33.155| 487.0,  37.5|blue
 487.0,  37.5| 490.419,  42.668| 493.585,  48.002| 496.5,  53.5|pink
 496.5,  53.5| 496.000,  53.833| 495.500,  54.167| 495.0,  54.5|red
 495.0,  54.5| 457.396,  43.506| 419.896,  44.006| 382.5,  56.0|orange
 382.5,  56.0| 370.046,  59.814| 357.879,  64.314| 346.0,  69.5|yellow
 346.0,  69.5| 339.404,  65.997| 334.904,  60.663| 332.5,  53.5|green
 332.5,  53.5| 336.192,  52.436| 339.858,  51.270| 343.5,  50.0|blue
 343.5,  50.0| 352.167,  45.333| 360.833,  40.667| 369.5,  36.0|pink
 369.5,  36.0| 376.996,  33.584| 384.662,  31.917| 392.5,  31.0|red
 392.5,  31.0| 393.624,  30.161| 394.291,  28.994| 394.5,  27.5|orange
 394.5,  27.5| 393.701,  20.669| 392.201,  14.003| 390.0,   7.5|yellow
 390.0,   7.5| 387.749,   3.874| 384.582,   2.707| 380.5,   4.0|green
 380.5,   4.0| 367.728,   9.258| 354.728,  13.924| 341.5,  18.0|blue
 341.5,  18.0| 332.570,  21.923| 325.070,  27.756| 319.0,  35.5|pink
 319.0,  35.5| 309.430,  51.197| 312.263,  64.197| 327.5,  74.5|red
 327.5,  74.5| 328.386,  75.325| 328.719,  76.325| 328.5,  77.5|orange
 328.5,  77.5| 324.661,  79.167| 320.661,  79.667| 316.5,  79.0|yellow
 316.5,  79.0| 304.034,  74.200| 295.201,  65.700| 290.0,  53.5|green
 290.0,  53.5| 287.242,  43.193| 289.242,  33.860| 296.0,  25.5|blue
 296.0,  25.5| 308.745,  12.869| 323.579,   3.369| 340.5,  -3.0|pink
 340.5,  -3.0| 360.923, -10.980| 381.923, -15.814| 403.5, -17.5|red


Region: 07  | Segments: 39    | Area: 12382.698
 S           | A               | B               | E           | Color
  73.5,   6.5| 112.958,   4.378| 148.291,  15.212| 179.5,  39.0|black
 179.5,  39.0| 181.126,  41.628| 183.126,  43.961| 185.5,  46.0|red
 185.5,  46.0| 192.476,  45.395| 199.476,  44.562| 206.5,  43.5|orange
 206.5,  43.5| 219.625,  44.244| 222.291,  49.744| 214.5,  60.0|yellow
 214.5,  60.0| 205.347,  64.329| 196.180,  68.495| 187.0,  72.5|green
 187.0,  72.5| 186.153,  89.845| 185.153, 107.179| 184.0, 124.5|blue
 184.0, 124.5| 173.252, 131.791| 162.419, 138.958| 151.5, 146.0|pink
 151.5, 146.0| 147.667, 149.833| 143.833, 153.667| 140.0, 157.5|red
 140.0, 157.5| 139.238, 163.000| 140.572, 168.000| 144.0, 172.5|orange
 144.0, 172.5| 153.167, 187.000| 165.000, 198.833| 179.5, 208.0|yellow
 179.5, 208.0| 182.030, 209.422| 184.697, 209.755| 187.5, 209.0|green
 187.5, 209.0| 193.657, 205.171| 200.157, 202.005| 207.0, 199.5|blue
 207.0, 199.5| 209.577, 200.271| 212.077, 201.271| 214.5, 202.5|pink
 214.5, 202.5| 211.861, 209.112| 208.694, 215.446| 205.0, 221.5|red
 205.0, 221.5| 196.779, 228.744| 187.613, 230.578| 177.5, 227.0|orange
 177.5, 227.0| 169.507, 223.675| 162.174, 219.341| 155.5, 214.0|yellow
 155.5, 214.0| 143.958, 202.792| 132.791, 191.292| 122.0, 179.5|green
 122.0, 179.5| 118.569, 181.261| 115.403, 183.428| 112.5, 186.0|blue
 112.5, 186.0| 109.269, 187.466| 105.935, 188.633| 102.5, 189.5|pink
 102.5, 189.5| 102.256, 184.372| 100.756, 179.705|  98.0, 175.5|red
  98.0, 175.5|  97.196, 174.196|  96.029, 173.529|  94.5, 173.5|orange
  94.5, 173.5|  91.803, 174.232|  89.136, 175.066|  86.5, 176.0|yellow
  86.5, 176.0|  78.525, 181.136|  70.192, 185.636|  61.5, 189.5|green
  61.5, 189.5|  60.792, 187.108|  61.458, 184.941|  63.5, 183.0|blue
  63.5, 183.0|  74.437, 176.393|  85.104, 169.393|  95.5, 162.0|pink
  95.5, 162.0| 118.050, 144.449| 140.884, 127.282| 164.0, 110.5|red
 164.0, 110.5| 164.667,  98.167| 164.667,  85.833| 164.0,  73.5|orange
 164.0,  73.5| 160.764,  70.129| 156.931,  67.629| 152.5,  66.0|yellow
 152.5,  66.0| 145.337,  63.376| 138.004,  61.376| 130.5,  60.0|green
 130.5,  60.0| 105.604,  56.453|  80.604,  53.953|  55.5,  52.5|blue
  55.5,  52.5|  55.500,  51.500|  55.500,  50.500|  55.5,  49.5|pink
  55.5,  49.5|  67.089,  43.543|  79.089,  38.377|  91.5,  34.0|red
  91.5,  34.0|  93.500,  32.333|  95.500,  30.667|  97.5,  29.0|orange
  97.5,  29.0|  78.947,  23.914|  61.280,  26.247|  44.5,  36.0|yellow
  44.5,  36.0|  40.633,  40.202|  36.467,  44.035|  32.0,  47.5|green
  32.0,  47.5|  28.435,  46.199|  24.935,  44.699|  21.5,  43.0|blue
  21.5,  43.0|  20.833,  42.000|  20.167,  41.000|  19.5,  40.0|pink
  19.5,  40.0|  22.420,  31.160|  27.753,  24.160|  35.5,  19.0|red
  35.5,  19.0|  47.187,  11.493|  59.854,   7.326|  73.5,   6.5|orange


Region: 08  | Segments: 10    | Area: 764.183
 S           | A               | B               | E           | Color
 543.5,  27.5| 552.391,  28.245| 561.058,  30.078| 569.5,  33.0|black
 569.5,  33.0| 575.196,  33.170| 580.862,  33.670| 586.5,  34.5|red
 586.5,  34.5| 584.905,  37.680| 583.905,  41.013| 583.5,  44.5|orange
 583.5,  44.5| 578.968,  45.763| 574.635,  47.597| 570.5,  50.0|yellow
 570.5,  50.0| 566.173,  53.499| 561.506,  56.499| 556.5,  59.0|green
 556.5,  59.0| 553.833,  59.667| 551.167,  59.667| 548.5,  59.0|blue
 548.5,  59.0| 546.783,  57.441| 544.783,  56.608| 542.5,  56.5|pink
 542.5,  56.5| 544.588,  51.882| 547.754,  47.882| 552.0,  44.5|red
 552.0,  44.5| 554.715,  37.317| 552.215,  32.651| 544.5,  30.5|orange
 544.5,  30.5| 543.614,  29.675| 543.281,  28.675| 543.5,  27.5|yellow


Region: 09  | Segments: 10    | Area: 2020.604
 S           | A               | B               | E           | Color
 -41.5,  35.5| -28.831,  35.767| -16.164,  36.100|  -3.5,  36.5|black
  -3.5,  36.5|  -3.500,  37.500|  -3.500,  38.500|  -3.5,  39.5|red
  -3.5,  39.5| -30.642,  37.496| -56.642,  41.996| -81.5,  53.0|orange
 -81.5,  53.0|-124.685,  75.503|-137.852, 110.003|-121.0, 156.5|yellow
-121.0, 156.5|-114.633, 170.935|-103.800, 180.102| -88.5, 184.0|green
 -88.5, 184.0| -80.672, 186.663| -75.338, 191.829| -72.5, 199.5|blue
 -72.5, 199.5| -88.984, 198.007|-102.817, 191.007|-114.0, 178.5|pink
-114.0, 178.5|-133.509, 153.464|-139.509, 125.464|-132.0,  94.5|red
-132.0,  94.5|-121.795,  66.633|-102.295,  48.800| -73.5,  41.0|orange
 -73.5,  41.0| -62.811,  38.453| -52.144,  36.620| -41.5,  35.5|yellow


Region: 10  | Segments: 08    | Area: 867.454
 S           | A               | B               | E           | Color
 648.5,  38.5| 661.438,  39.360| 674.438,  40.193| 687.5,  41.0|black
