Region: 00  | Segments: 48    | Area: 510176.066
S           | A               | B               | E           | Color
718.5,177.0 | 697.802,156.309 | 673.136,00142.3 | 644.5,135.0 | blue
644.5,135.0 | 628.403,130.714 | 612.070,00127.7 | 595.5,126.0 | pink
595.5,126.0 | 568.147,124.407 | 540.814,00122.7 | 513.5,121.0 | red
513.5,121.0 | 512.359,120.259 | 512.359,00119.4 | 513.5,118.5 | orange
513.5,118.5 | 514.729,117.719 | 516.062,00117.2 | 517.5,117.0 | yellow
517.5,117.0 | 527.322,116.181 | 536.989,00115.3 | 546.5,114.5 | green


Region: 03  | Segments: 08    | Area: 2201.923
S           | A               | B               | E           | Color
300.5,124.5 | 320.274,123.981 | 339.940,00125.1 | 359.5,128.0 | black
359.5,128.0 | 366.273,129.146 | 372.606,00131.5 | 378.5,135.0 | red
378.5,135.0 | 387.486,142.663 | 386.153,00146.0 | 374.5,145.0 | orange
374.5,145.0 | 339.852,135.806 | 304.852,00134.1 | 269.5,140.0 | yellow
269.5,140.0 | 244.927,145.346 | 227.093,00159.2 | 216.0,181.5 | green
216.0,181.5 | 212.326,175.590 | 211.992,00169.3 | 215.0,162.5 | blue
215.0,162.5 | 218.725,154.108 | 224.559,00147.6 | 232.5,143.0 | pink
232.5,143.0 | 253.842,131.500 | 276.508,00125.3 | 300.5,124.5 | red


Region: 04  | Segments: 06    | Area: 649.910
S           | A               | B               | E           | Color
526.5,126.5 | 528.487,127.164 | 530.154,00128.3 | 531.5,130.0 | black
531.5,130.0 | 524.578,136.918 | 518.411,00144.4 | 513.0,152.5 | red
513.0,152.5 | 508.821,161.390 | 506.154,00170.7 | 505.0,180.5 | orange
505.0,180.5 | 503.126,182.776 | 501.459,00182.4 | 500.0,179.5 | yellow
500.0,179.5 | 496.345,165.086 | 498.345,00151.4 | 506.0,138.5 | green
506.0,138.5 | 511.773,132.535 | 518.607,00128.5 | 526.5,126.5 | blue


Region: 05  | Segments: 06    | Area: 652.826
S           | A               | B               | E           | Color
353.5,157.5 | 364.533,154.879 | 371.700,00158.9 | 375.0,169.5 | black
375.0,169.5 | 378.435,184.904 | 378.268,00200.2 | 374.5,215.5 | red
374.5,215.5 | 372.799,215.966 | 371.299,00216.0 | 370.0,215.5 | orange
370.0,215.5 | 368.261,204.236 | 366.928,00192.9 | 366.0,181.5 | yellow
