Region: 00  | Segments: 48    | Area: 510176.066
S           | A               | B               | E           | Color
881.0,356.5 | 882.833,360.167 | 884.667,00363.8 | 886.5,367.5 | yellow
886.5,367.5 | 882.833,367.833 | 879.167,00368.2 | 875.5,368.5 | green
875.5,368.5 | 865.795,367.722 | 856.128,00366.9 | 846.5,366.0 | blue
846.5,366.0 | 834.419,376.489 | 831.086,00389.3 | 836.5,404.5 | pink
836.5,404.5 | 811.142,418.178 | 784.808,00429.7 | 757.5,439.0 | red
757.5,439.0 | 744.949,444.554 | 734.449,00452.7 | 726.0,463.5 | orange
726.0,463.5 | 724.725,465.717 | 723.725,00468.1 | 723.0,470.5 | yellow
723.0,470.5 | 723.742,485.351 | 717.909,00496.7 | 705.5,504.5 | green
705.5,504.5 | 702.585,494.684 | 700.418,00484.7 | 699.0,474.5 | blue
699.0,474.5 | 698.804,472.714 | 697.971,00471.4 | 696.5,470.5 | pink
696.5,470.5 | 666.636,487.733 | 634.970,00500.6 | 601.5,509.0 | red
601.5,509.0 | 599.202,520.952 | 600.702,00532.5 | 606.0,543.5 | orange
606.0,543.5 | 609.707,550.414 | 613.540,00557.2 | 617.5,564.0 | yellow
617.5,564.0 | 611.145,568.848 | 604.145,00572.7 | 596.5,575.5 | green
596.5,575.5 | 592.890,565.611 | 588.723,00555.9 | 584.0,546.5 | blue
584.0,546.5 | 580.567,537.100 | 578.233,00527.4 | 577.0,517.5 | pink
577.0,517.5 | 576.481,516.484 | 575.647,00515.8 | 574.5,515.5 | red
574.5,515.5 | 544.757,530.103 | 513.423,00539.4 | 480.5,543.5 | orange
480.5,543.5 | 479.359,562.205 | 480.026,00580.9 | 482.5,599.5 | yellow
482.5,599.5 | 475.278,600.127 | 468.278,00601.8 | 461.5,604.5 | green
461.5,604.5 | 460.066,586.857 | 459.066,00569.2 | 458.5,551.5 | blue
458.5,551.5 | 445.232,553.987 | 431.898,00556.2 | 418.5,558.0 | pink
418.5,558.0 | 405.863,559.227 | 393.197,00559.7 | 380.5,559.5 | red
380.5,559.5 | 381.488,575.775 | 384.155,00591.8 | 388.5,607.5 | orange
388.5,607.5 | 381.916,607.733 | 375.249,00607.7 | 368.5,607.5 | yellow
368.5,607.5 | 366.829,585.009 | 355.495,00569.8 | 334.5,562.0 | green
334.5,562.0 | 327.500,561.333 | 320.500,00561.3 | 313.5,562.0 | blue
313.5,562.0 | 310.766,562.210 | 308.266,00563.0 | 306.0,564.5 | pink
306.0,564.5 | 305.389,568.682 | 306.056,00572.7 | 308.0,576.5 | red
308.0,576.5 | 312.500,586.167 | 317.000,00595.8 | 321.5,605.5 | orange
321.5,605.5 | 320.667,605.833 | 319.833,00606.2 | 319.0,606.5 | yellow
319.0,606.5 | 311.147,605.598 | 303.314,00604.6 | 295.5,603.5 | green
295.5,603.5 | 292.961,596.750 | 290.128,00590.1 | 287.0,583.5 | blue
287.0,583.5 | 285.812,578.049 | 284.312,00572.7 | 282.5,567.5 | pink
282.5,567.5 | 275.066,565.300 | 267.733,00562.8 | 260.5,560.0 | red
260.5,560.0 | 257.183,559.502 | 253.850,00559.3 | 250.5,559.5 | orange
250.5,559.5 | 250.351,562.607 | 250.851,00565.6 | 252.0,568.5 | yellow
252.0,568.5 | 258.115,576.391 | 262.948,00585.1 | 266.5,594.5 | green
266.5,594.5 | 266.167,594.833 | 265.833,00595.2 | 265.5,595.5 | blue
265.5,595.5 | 256.340,593.116 | 247.007,00591.8 | 237.5,591.5 | pink
237.5,591.5 | 235.060,573.763 | 226.060,00560.8 | 210.5,552.5 | red
210.5,552.5 | 210.335,555.850 | 210.502,00559.2 | 211.0,562.5 | orange
211.0,562.5 | 214.191,568.906 | 216.691,00575.6 | 218.5,582.5 | yellow
218.5,582.5 | 211.282,582.220 | 205.116,00579.2 | 200.0,573.5 | green
200.0,573.5 | 192.667,564.167 | 185.333,00554.8 | 178.0,545.5 | blue
178.0,545.5 | 170.584,532.999 | 162.917,00520.7 | 155.0,508.5 | pink
155.0,508.5 | 147.258,496.273 | 142.924,00482.9 | 142.0,468.5 | red
142.0,468.5 | 138.216,425.433 | 147.216,00385.1 | 169.0,347.5 | orange
169.0,347.5 | 169.716,338.953 | 171.216,00330.6 | 173.5,322.5 | yellow


Region: 17  | Segments: 13    | Area: 2282.470
S           | A               | B               | E           | Color
512.5,332.5 | 527.683,331.296 | 541.683,00334.8 | 554.5,343.0 | black
554.5,343.0 | 557.000,344.167 | 558.833,00346.0 | 560.0,348.5 | red
560.0,348.5 | 560.652,353.077 | 561.485,00357.6 | 562.5,362.0 | orange
562.5,362.0 | 561.125,370.480 | 559.625,00379.0 | 558.0,387.5 | yellow
558.0,387.5 | 552.582,403.795 | 541.415,00409.5 | 524.5,404.5 | green
524.5,404.5 | 524.057,398.328 | 525.557,00392.7 | 529.0,387.5 | blue
529.0,387.5 | 534.333,383.500 | 539.000,00378.8 | 543.0,373.5 | pink
543.0,373.5 | 543.667,370.500 | 543.667,00367.5 | 543.0,364.5 | red
543.0,364.5 | 540.872,361.370 | 538.372,00358.5 | 535.5,356.0 | orange
535.5,356.0 | 524.581,353.897 | 513.581,00352.2 | 502.5,351.0 | yellow
502.5,351.0 | 499.990,350.624 | 497.657,00349.8 | 495.5,348.5 | green
495.5,348.5 | 497.372,344.588 | 499.372,00340.8 | 501.5,337.0 | blue
501.5,337.0 | 505.053,334.879 | 508.720,00333.4 | 512.5,332.5 | pink


Region: 18  | Segments: 09    | Area: 817.857
S           | A               | B               | E           | Color
568.5,334.5 | 570.288,334.215 | 571.955,00334.5 | 573.5,335.5 | black
573.5,335.5 | 573.823,341.643 | 576.490,00346.5 | 581.5,350.0 | red
581.5,350.0 | 601.157,350.535 | 620.824,00351.2 | 640.5,352.0 | orange
640.5,352.0 | 645.922,353.070 | 648.089,00356.2 | 647.0,361.5 | yellow
647.0,361.5 | 646.000,362.167 | 645.000,00362.8 | 644.0,363.5 | green
644.0,363.5 | 639.709,361.635 | 635.209,00360.5 | 630.5,360.0 | blue
630.5,360.0 | 611.808,359.855 | 593.142,00359.2 | 574.5,358.0 | pink
574.5,358.0 | 568.615,355.704 | 565.615,00351.4 | 565.5,345.0 | red
565.5,345.0 | 566.435,341.497 | 567.435,00338.0 | 568.5,334.5 | orange


Region: 19  | Segments: 07    | Area: 1455.479
S           | A               | B               | E           | Color
477.5,367.5 | 489.843,368.798 | 502.176,00370.5 | 514.5,372.5 | black
514.5,372.5 | 514.124,380.188 | 513.457,00387.9 | 512.5,395.5 | red
512.5,395.5 | 508.061,393.298 | 503.394,00391.8 | 498.5,391.0 | orange
498.5,391.0 | 481.157,390.746 | 463.823,00390.2 | 446.5,389.5 | yellow
446.5,389.5 | 444.500,389.167 | 442.500,00388.8 | 440.5,388.5 | green
440.5,388.5 | 442.142,379.676 | 447.142,00373.8 | 455.5,371.0 | blue
455.5,371.0 | 462.947,369.657 | 470.280,00368.5 | 477.5,367.5 | pink


Region: 20  | Segments: 25    | Area: 18023.634
S           | A               | B               | E           | Color
804.5,436.5 | 805.376,436.369 | 806.043,00436.7 | 806.5,437.5 | black
806.5,437.5 | 789.657,464.525 | 771.823,00490.9 | 753.0,516.5 | red
753.0,516.5 | 723.152,549.514 | 687.985,00575.3 | 647.5,594.0 | orange
647.5,594.0 | 597.793,616.428 | 545.793,00630.8 | 491.5,637.0 | yellow
491.5,637.0 | 412.554,646.570 | 333.554,00645.9 | 254.5,635.0 | green
254.5,635.0 | 229.484,631.773 | 206.151,00623.8 | 184.5,611.0 | blue
184.5,611.0 | 178.667,606.500 | 173.500,00601.3 | 169.0,595.5 | pink
169.0,595.5 | 154.840,573.190 | 146.340,00548.9 | 143.5,522.5 | red
143.5,522.5 | 144.500,522.500 | 145.500,00522.5 | 146.5,522.5 | orange
146.5,522.5 | 148.347,529.194 | 151.514,00535.2 | 156.0,540.5 | yellow
156.0,540.5 | 166.666,554.979 | 178.166,00568.8 | 190.5,582.0 | green
190.5,582.0 | 200.257,591.714 | 211.924,00598.0 | 225.5,601.0 | blue
225.5,601.0 | 237.243,603.416 | 249.077,00605.2 | 261.0,606.5 | pink
261.0,606.5 | 270.737,609.393 | 280.570,00611.9 | 290.5,614.0 | red
290.5,614.0 | 306.500,615.667 | 322.500,00617.3 | 338.5,619.0 | orange
338.5,619.0 | 375.973,619.180 | 413.306,00619.2 | 450.5,619.0 | yellow
450.5,619.0 | 460.056,618.540 | 469.390,00616.9 | 478.5,614.0 | green
478.5,614.0 | 505.001,613.728 | 531.001,00610.1 | 556.5,603.0 | blue
556.5,603.0 | 571.500,598.000 | 586.500,00593.0 | 601.5,588.0 | pink
601.5,588.0 | 620.270,579.449 | 638.603,00570.1 | 656.5,560.0 | red
656.5,560.0 | 675.167,546.667 | 693.833,00533.3 | 712.5,520.0 | orange
712.5,520.0 | 718.196,513.438 | 723.529,00506.6 | 728.5,499.5 | yellow
728.5,499.5 | 738.499,492.905 | 747.665,00485.2 | 756.0,476.5 | green
756.0,476.5 | 761.625,468.085 | 767.125,00459.6 | 772.5,451.0 | blue
772.5,451.0 | 782.643,444.758 | 793.309,00439.9 | 804.5,436.5 | pink


Region: 21  | Segments: 10    | Area: 3152.856
S           | A               | B               | E           | Color
728.5,588.5 | 733.318,589.296 | 734.651,00592.0 | 732.5,596.5 | black
732.5,596.5 | 721.473,600.231 | 710.473,00604.1 | 699.5,608.0 | red
699.5,608.0 | 669.678,622.744 | 640.011,00637.7 | 610.5,653.0 | orange
610.5,653.0 | 563.615,672.555 | 514.948,00685.6 | 464.5,692.0 | yellow
464.5,692.0 | 458.833,692.667 | 453.167,00692.7 | 447.5,692.0 | green
447.5,692.0 | 437.438,691.316 | 437.104,00689.6 | 446.5,687.0 | blue
446.5,687.0 | 478.712,684.424 | 510.045,00677.8 | 540.5,667.0 | pink
540.5,667.0 | 558.060,660.553 | 575.393,00653.6 | 592.5,646.0 | red
592.5,646.0 | 620.260,632.453 | 648.260,00619.5 | 676.5,607.0 | orange
676.5,607.0 | 693.612,599.909 | 710.946,00593.7 | 728.5,588.5 | yellow


Region: 22  | Segments: 13    | Area: 8575.237
S           | A               | B               | E           | Color
782.5,589.5 | 788.742,591.480 | 789.075,00594.3 | 783.5,598.0 | black
783.5,598.0 | 718.887,636.770 | 650.220,00666.4 | 577.5,687.0 | red
577.5,687.0 | 484.541,714.938 | 389.541,00729.4 | 292.5,730.5 | orange
292.5,730.5 | 264.679,730.799 | 237.012,00729.0 | 209.5,725.0 | yellow
209.5,725.0 | 191.134,721.659 | 174.134,00715.0 | 158.5,705.0 | green
158.5,705.0 | 150.852,699.687 | 145.018,00692.9 | 141.0,684.5 | blue
141.0,684.5 | 140.502,681.518 | 140.335,00678.5 | 140.5,675.5 | pink
140.5,675.5 | 143.311,675.826 | 145.978,00676.7 | 148.5,678.0 | red
148.5,678.0 | 167.660,692.579 | 188.994,00702.9 | 212.5,709.0 | orange
212.5,709.0 | 245.632,717.447 | 279.298,00721.3 | 313.5,720.5 | yellow
313.5,720.5 | 422.304,717.506 | 527.304,00696.0 | 628.5,656.0 | green
628.5,656.0 | 660.953,641.274 | 693.287,00626.3 | 725.5,611.0 | blue
725.5,611.0 | 744.168,602.654 | 763.168,00595.5 | 782.5,589.5 | pink


Region: 23  | Segments: 09    | Area: 1722.161
S           | A               | B               | E           | Color
190.5,642.5 | 197.263,648.088 | 203.930,00653.9 | 210.5,660.0 | black
210.5,660.0 | 226.722,670.635 | 244.388,00678.0 | 263.5,682.0 | red
263.5,682.0 | 280.395,685.318 | 297.395,00688.0 | 314.5,690.0 | orange
314.5,690.0 | 316.663,690.245 | 318.330,00691.2 | 319.5,693.0 | yellow
319.5,693.0 | 310.788,694.766 | 301.954,00695.9 | 293.0,696.5 | green
293.0,696.5 | 280.909,695.424 | 268.742,00694.6 | 256.5,694.0 | blue
256.5,694.0 | 239.263,692.254 | 223.263,00686.9 | 208.5,678.0 | pink
208.5,678.0 | 196.400,669.951 | 189.900,00658.8 | 189.0,644.5 | red
189.0,644.5 | 189.717,643.956 | 190.217,00643.3 | 190.5,642.5 | orange


Region: 24  | Segments: 08    | Area: 1127.983
S           | A               | B               | E           | Color
326.5,658.5 | 364.097,658.968 | 401.763,00659.1 | 439.5,659.0 | black
439.5,659.0 | 442.833,659.333 | 446.167,00659.7 | 449.5,660.0 | red
449.5,660.0 | 450.641,660.741 | 450.641,00661.6 | 449.5,662.5 | orange
449.5,662.5 | 441.677,664.645 | 433.677,00665.8 | 425.5,666.0 | yellow
425.5,666.0 | 391.049,669.242 | 356.716,00669.6 | 322.5,667.0 | green
322.5,667.0 | 319.776,666.730 | 317.109,00666.2 | 314.5,665.5 | blue
314.5,665.5 | 313.534,663.604 | 313.201,00661.6 | 313.5,659.5 | pink
313.5,659.5 | 318.032,659.818 | 322.366,00659.5 | 326.5,658.5 | red


total segments: 449
